subject_id,text,interaction_type,date,language
S004,காலையில் உடற்பயிற்சி செய்தேன். உடல் புத்துணர்ச்சியாக உணர்கிறது. தினமும் செய்வதை தொடர்வேன்.,caption,2024-12-09,ta
S004,நண்பர்களுடன் சாப்பிட சென்றோம். நல்ல நேரம் கழித்தோம். நிறைய விஷயங்கள் பேசினோம்.,caption,2024-08-12,ta
S004,,like,2024-08-19,ta
S004,,like,2024-05-06,ta
S005,අද දවස ගොඩාක් සතුටින් ගෙවුණා. පවුලේ සියල්ලෝ එකතු වෙලා හොඳ ආහාරයක් කෑවා. ළමයින්ත් ගොඩාක් සතුටු වුණා.,comment,2024-04-27,si
S005,අද දවස ගොඩාක් සතුටින් ගෙවුණා. පවුලේ සියල්ලෝ එකතු වෙලා හොඳ ආහාරයක් කෑවා. ළමයින්ත් ගොඩාක් සතුටු වුණා.,comment,2024-06-18,si
S005,මිතුරන් සමඟ ගමනක් ගිහින් ගොඩාක් ආස හිතුණා. රාත්‍රී ආහාරය ගෙන කතාබහ කළා. ඇත්තෙන්ම ආනන්දමත් දවසක් ගෙවුණා.,message,2024-05-01,si
S005,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,caption,2024-04-19,si
S005,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",caption,2024-10-19,si
S005,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,message,2024-05-04,si
S005,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,comment,2024-04-07,si
S005,අද දවස ගොඩාක් සතුටින් ගෙවුණා. පවුලේ සියල්ලෝ එකතු වෙලා හොඳ ආහාරයක් කෑවා. ළමයින්ත් ගොඩාක් සතුටු වුණා.,message,2024-12-03,si
S005,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,message,2024-08-04,si
S005,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,caption,2024-01-28,si
S005,අද දවස ගොඩාක් සතුටින් ගෙවුණා. පවුලේ සියල්ලෝ එකතු වෙලා හොඳ ආහාරයක් කෑවා. ළමයින්ත් ගොඩාක් සතුටු වුණා.,message,2024-02-01,si
S005,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,comment,2024-02-25,si
S005,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",caption,2024-04-07,si
S005,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,message,2024-03-12,si
S005,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",message,2024-05-22,si
S005,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",message,2024-02-08,si
S005,,like,2024-10-08,si
S005,,react,2024-01-26,si
S006,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",comment,2024-07-24,si
S006,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",comment,2024-07-13,si
S006,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,message,2024-05-15,si
S006,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,caption,2024-08-04,si
S006,මිතුරන් සමඟ ගමනක් ගිහින් ගොඩාක් ආස හිතුණා. රාත්‍රී ආහාරය ගෙන කතාබහ කළා. ඇත්තෙන්ම ආනන්දමත් දවසක් ගෙවුණා.,caption,2024-12-04,si
S006,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,comment,2024-03-20,si
S006,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,comment,2024-04-21,si
S006,මිතුරන් සමඟ ගමනක් ගිහින් ගොඩාක් ආස හිතුණා. රාත්‍රී ආහාරය ගෙන කතාබහ කළා. ඇත්තෙන්ම ආනන්දමත් දවසක් ගෙවුණා.,comment,2024-10-04,si
S006,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,comment,2024-01-30,si
S006,මිතුරන් සමඟ ගමනක් ගිහින් ගොඩාක් ආස හිතුණා. රාත්‍රී ආහාරය ගෙන කතාබහ කළා. ඇත්තෙන්ම ආනන්දමත් දවසක් ගෙවුණා.,caption,2024-09-01,si
S006,මිතුරන් සමඟ ගමනක් ගිහින් ගොඩාක් ආස හිතුණා. රාත්‍රී ආහාරය ගෙන කතාබහ කළා. ඇත්තෙන්ම ආනන්දමත් දවසක් ගෙවුණා.,comment,2024-03-21,si
S006,මිතුරන් සමඟ ගමනක් ගිහින් ගොඩාක් ආස හිතුණා. රාත්‍රී ආහාරය ගෙන කතාබහ කළා. ඇත්තෙන්ම ආනන්දමත් දවසක් ගෙවුණා.,comment,2024-02-11,si
S006,අද දවස ගොඩාක් සතුටින් ගෙවුණා. පවුලේ සියල්ලෝ එකතු වෙලා හොඳ ආහාරයක් කෑවා. ළමයින්ත් ගොඩාක් සතුටු වුණා.,comment,2024-10-31,si
S006,,like,2024-12-11,si
S006,,like,2024-07-25,si
S006,,like,2024-10-18,si
S007,gedara vibhagaya potha ekka kalaa. dhan therenne godak. anith dawase wenath deyak karannnam.,comment,2024-05-13,romanized_sinhala
S007,gedara vibhagaya potha ekka kalaa. dhan therenne godak. anith dawase wenath deyak karannnam.,message,2024-05-02,romanized_sinhala
S007,wathura para langa aluth walking ekak giya. godak refresh unaa. weather eka hondhata thibuna.,caption,2024-03-08,romanized_sinhala
S007,yaluwo ekka trip ekak giya godak asa unaa. rathri kama kaala katha karaa. harima santhosa dawasak.,message,2024-08-22,romanized_sinhala
S007,"ada rathriyy film ekak baluwa. kathawa hari hondai, actorsla ge acting eka hariyatama liked karaa.",message,2024-01-05,romanized_sinhala
S007,"ada rathriyy film ekak baluwa. kathawa hari hondai, actorsla ge acting eka hariyatama liked karaa.",caption,2024-02-07,romanized_sinhala
S007,"sathiyata eka dawasak wiyayama kala, agata hri shakthiyan danenawa, wayayama karana eka agata hodai",message,2024-09-16,romanized_sinhala
S007,"gedara idan pothak kiyewwa. godak dewal igena ganna thibba, ada mama godak dewal danagatta.",comment,2024-06-27,romanized_sinhala
S007,"sathiyata eka dawasak wiyayama kala, agata hri shakthiyan danenawa, wayayama karana eka agata hodai",message,2024-07-08,romanized_sinhala
S007,"gedara idan pothak kiyewwa. godak dewal igena ganna thibba, ada mama godak dewal danagatta.",caption,2024-08-12,romanized_sinhala
S007,yaluwo ekka trip ekak giya godak asa unaa. rathri kama kaala katha karaa. harima santhosa dawasak.,caption,2024-11-09,romanized_sinhala
S007,ada family eka ekka beach giya. hari sathutu dawasak. lamainuth hodata sellam kalaa.,caption,2024-12-07,romanized_sinhala
S007,yaluwo ekka trip ekak giya godak asa unaa. rathri kama kaala katha karaa. harima santhosa dawasak.,comment,2024-12-05,romanized_sinhala
S007,"gedara idan pothak kiyewwa. godak dewal igena ganna thibba, ada mama godak dewal danagatta.",comment,2024-05-15,romanized_sinhala
S007,"ada rathriyy film ekak baluwa. kathawa hari hondai, actorsla ge acting eka hariyatama liked karaa.",comment,2024-10-10,romanized_sinhala
S007,yaluwo ekka trip ekak giya godak asa unaa. rathri kama kaala katha karaa. harima santhosa dawasak.,caption,2024-05-24,romanized_sinhala
S007,"sathiyata eka dawasak wiyayama kala, agata hri shakthiyan danenawa, wayayama karana eka agata hodai",comment,2024-06-24,romanized_sinhala
S007,,react,2024-12-17,romanized_sinhala
S007,,react,2024-05-15,romanized_sinhala
S007,,view,2024-09-07,romanized_sinhala
S007,,like,2024-01-27,romanized_sinhala
S008,Caught up with old friends over coffee this afternoon. It is always so good to reconnect and hear what everyone has been up to.,caption,2024-03-23,en
S008,Attended a really interesting public lecture on climate change and sustainable living this evening. Lots of practical ideas to think about.,caption,2024-10-09,en
S008,The garden is looking beautiful after all the rain we had last weekend. The roses are blooming and the vegetables are growing well.,comment,2024-10-14,en
S008,Finished reading a fascinating book on ancient history last night. I would highly recommend it to anyone who enjoys learning about the past.,caption,2024-02-08,en
S008,Cooking a new recipe tonight — spicy prawn curry with coconut milk. The whole house smells amazing already and everyone is excited.,comment,2024-10-06,en
S008,Started learning a new language this week using an app on my phone. It is challenging but very rewarding to make progress each day.,caption,2024-10-25,en
S008,Cooking a new recipe tonight — spicy prawn curry with coconut milk. The whole house smells amazing already and everyone is excited.,comment,2024-08-08,en
S008,Had a wonderful time at the beach with family today. The sunset was absolutely breathtaking and the kids loved playing in the waves.,message,2024-06-06,en
S008,Had a wonderful time at the beach with family today. The sunset was absolutely breathtaking and the kids loved playing in the waves.,comment,2024-07-02,en
S008,Made a big pot of soup from scratch today using vegetables from the garden. It turned out really well and we have enough for the week.,caption,2024-05-07,en
S008,Finished reading a fascinating book on ancient history last night. I would highly recommend it to anyone who enjoys learning about the past.,caption,2024-06-30,en
S008,The garden is looking beautiful after all the rain we had last weekend. The roses are blooming and the vegetables are growing well.,caption,2024-11-13,en
S008,Cooking a new recipe tonight — spicy prawn curry with coconut milk. The whole house smells amazing already and everyone is excited.,comment,2024-05-01,en
S008,Cooking a new recipe tonight — spicy prawn curry with coconut milk. The whole house smells amazing already and everyone is excited.,comment,2024-07-30,en
S008,,react,2024-04-01,en
S008,,view,2024-06-19,en
S009,අද දවස ගොඩාක් සතුටින් ගෙවුණා. පවුලේ සියල්ලෝ එකතු වෙලා හොඳ ආහාරයක් කෑවා. ළමයින්ත් ගොඩාක් සතුටු වුණා.,comment,2024-07-14,si
S009,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,comment,2024-04-23,si
S009,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,message,2024-06-28,si
S009,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",comment,2024-04-24,si
S009,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",message,2024-07-23,si
S009,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,message,2024-02-05,si
S009,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,caption,2024-11-24,si
S009,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,caption,2024-12-13,si
S009,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,comment,2024-01-15,si
S009,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,caption,2024-04-01,si
S009,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,comment,2024-01-20,si
S009,මිතුරන් සමඟ ගමනක් ගිහින් ගොඩාක් ආස හිතුණා. රාත්‍රී ආහාරය ගෙන කතාබහ කළා. ඇත්තෙන්ම ආනන්දමත් දවසක් ගෙවුණා.,message,2024-08-10,si
S009,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,caption,2024-08-11,si
S009,මිතුරන් සමඟ ගමනක් ගිහින් ගොඩාක් ආස හිතුණා. රාත්‍රී ආහාරය ගෙන කතාබහ කළා. ඇත්තෙන්ම ආනන්දමත් දවසක් ගෙවුණා.,message,2024-02-29,si
S009,,like,2024-10-22,si
S009,,like,2024-05-10,si
S010,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,message,2024-11-15,si
S010,අද දවස ගොඩාක් සතුටින් ගෙවුණා. පවුලේ සියල්ලෝ එකතු වෙලා හොඳ ආහාරයක් කෑවා. ළමයින්ත් ගොඩාක් සතුටු වුණා.,caption,2024-06-02,si
S010,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,message,2024-12-07,si
S010,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,caption,2024-07-25,si
S010,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,comment,2024-10-10,si
S010,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",caption,2024-08-03,si
S010,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,caption,2024-12-12,si
S010,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",caption,2024-11-11,si
S010,ගෙදර පොතක් කියෙව්වා. ගොඩාක් ඉගෙනගන්න දේවල් තිබුණා. නොදන්නා දේවල් ඕනෑ තරම් ඉගෙනගත්තා.,caption,2024-07-26,si
S010,අද දවස ගොඩාක් සතුටින් ගෙවුණා. පවුලේ සියල්ලෝ එකතු වෙලා හොඳ ආහාරයක් කෑවා. ළමයින්ත් ගොඩාක් සතුටු වුණා.,message,2024-06-04,si
S010,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",caption,2024-08-08,si
S010,මිතුරන් සමඟ ගමනක් ගිහින් ගොඩාක් ආස හිතුණා. රාත්‍රී ආහාරය ගෙන කතාබහ කළා. ඇත්තෙන්ම ආනන්දමත් දවසක් ගෙවුණා.,message,2024-12-01,si
S010,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,message,2024-08-14,si
S010,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",message,2024-09-18,si
S010,,react,2024-03-27,si
S010,,view,2024-02-13,si
S010,,react,2024-09-20,si
S011,"අද රෑ නව චිත්‍රපටයක් බැලුවා. කතාව ගොඩාක් හොඳයි, නළු නිළියන්ගේ රංගනය ඇත්තෙන්ම දිනාගත්තා. කවුරුත් බලන්න ඕනෙ.",comment,2024-03-16,si
S011,අද දවස ගොඩාක් සතුටින් ගෙවුණා. පවුලේ සියල්ලෝ එකතු වෙලා හොඳ ආහාරයක් කෑවා. ළමයින්ත් ගොඩාක් සතුටු වුණා.,message,2024-05-05,si
S011,මිතුරන් සමඟ ගමනක් ගිහින් ගොඩාක් ආස හිතුණා. රාත්‍රී ආහාරය ගෙන කතාබහ කළා. ඇත්තෙන්ම ආනන්දමත් දවසක් ගෙවුණා.,message,2024-02-07,si
S011,සතියේ දවස් කීපයක් ව්‍යායාම කළා. ශරීරය හොඳ හැඟීමක් ගත්තා. ඒ නිසා ඉදිරියටත් කරන්න හිතාගෙන ඉන්නවා.,caption,2024-11-18,si
